track,avg_position_gain
70th Anniversary Grand Prix,0.15789473684210525
Abu Dhabi Grand Prix,0.9757785467128027
Argentine Grand Prix,3.9545454545454546
Australian Grand Prix,2.611731843575419
Austrian Grand Prix,1.5023041474654377
Azerbaijan Grand Prix,1.75
Bahrain Grand Prix,1.0482954545454546
Belgian Grand Prix,1.9813829787234043
Brazilian Grand Prix,2.0083102493074794
British Grand Prix,1.7986425339366516
Canadian Grand Prix,2.169139465875371
Chinese Grand Prix,1.1302931596091206
Dutch Grand Prix,0.547945205479452
Eifel Grand Prix,3.466666666666667
Emilia Romagna Grand Prix,1.3623188405797102
European Grand Prix,2.096638655462185
French Grand Prix,1.3286384976525822
German Grand Prix,1.8298611111111112
Hungarian Grand Prix,1.547911547911548
Indian Grand Prix,1.2333333333333334
Italian Grand Prix,1.5172413793103448
Japanese Grand Prix,1.6791044776119404
Korean Grand Prix,2.04
Las Vegas Grand Prix,0.5945945945945946
Malaysian Grand Prix,2.1153846153846154
Mexican Grand Prix,1.2857142857142858
Mexico City Grand Prix,0.9154929577464789
Miami Grand Prix,0.5
Monaco Grand Prix,2.1396648044692737
Pacific Grand Prix,4.285714285714286
Portuguese Grand Prix,1.8028169014084507
Qatar Grand Prix,1.08
Russian Grand Prix,1.1594202898550725
Sakhir Grand Prix,1.9411764705882353
San Marino Grand Prix,2.7185185185185183
Saudi Arabian Grand Prix,1.0307692307692307
Singapore Grand Prix,1.6825396825396826
Spanish Grand Prix,1.537914691943128
Styrian Grand Prix,1.5142857142857142
Ṣo Paulo Grand Prix,1.625
Turkish Grand Prix,0.6585365853658537
Tuscan Grand Prix,2.5833333333333335
United States Grand Prix,2.4022140221402215
